source,scientific_status,run_id,family,model,representation,window_size_frames,fold,seed,balancing,subset,scope,label,metric,value
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,classical,random_forest,R0_flat,30,4,42,none,test,global,,balanced_accuracy,0.37429078014184397
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,classical,random_forest,R0_flat,30,4,42,none,test,global,,macro_f1,0.3644081983704625
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,classical,random_forest,R0_flat,30,4,42,none,all,cost,,train_seconds,0.9750060999976995
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,classical,random_forest,R0_flat,60,1,42,none,validation,global,,accuracy,0.8466101694915255
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,classical,random_forest,R0_flat,60,1,42,none,validation,global,,balanced_accuracy,0.4079309421189763
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,classical,random_forest,R0_flat,60,1,42,none,validation,global,,macro_f1,0.4184266916991894
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,classical,random_forest,R0_flat,60,1,42,none,test,global,,accuracy,0.8096479791395046
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,classical,random_forest,R0_flat,60,1,42,none,test,global,,balanced_accuracy,0.5094700644109887
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,classical,random_forest,R0_flat,60,1,42,none,test,global,,macro_f1,0.5103966134026942
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_1__seed_42,classical,random_forest,R0_flat,60,1,42,none,all,cost,,train_seconds,1.162704099999246
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,classical,random_forest,R0_flat,60,2,42,none,validation,global,,accuracy,0.8397271952259164
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,classical,random_forest,R0_flat,60,2,42,none,validation,global,,balanced_accuracy,0.41002274204028594
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,classical,random_forest,R0_flat,60,2,42,none,validation,global,,macro_f1,0.3816551594329372
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_2__seed_42,classical,random_forest,R0_flat,60,2,42,none,test,global,,accuracy,0.8873390557939914
