run_id,model,scenario,strategy,fold,subset,video_id,session_id,observed_hours,false_fatigue_windows,false_fatigue_episodes,false_windows_per_hour,false_episodes_per_hour
G4__g4_d_augmentation_w60__svm__r0__w60__fold_3__seed_42,svm,D,augmentation,3,validation,video_01,session_01,0.08484541579462511,6,4,70.71684361266452,47.144562408443015
G4__g4_d_augmentation_w60__svm__r0__w60__fold_3__seed_42,svm,D,augmentation,3,validation,video_02,session_02,0.099687,5,4,50.15699138302888,40.1255931064231
G4__g4_d_augmentation_w60__svm__r0__w60__fold_3__seed_42,svm,D,augmentation,3,validation,video_04,session_04,0.09894167151620005,4,3,40.42785955304046,30.32089466478035
G4__g4_d_augmentation_w60__svm__r0__w60__fold_3__seed_42,svm,D,augmentation,3,test,video_03,session_03,0.49538827800487906,12,11,24.223423388879244,22.204804773139305
G4__g4_d_augmentation_w60__svm__r0__w60__fold_4__seed_42,svm,D,augmentation,4,validation,video_01,session_01,0.08484541579462511,6,4,70.71684361266452,47.144562408443015
G4__g4_d_augmentation_w60__svm__r0__w60__fold_4__seed_42,svm,D,augmentation,4,validation,video_02,session_02,0.099687,11,7,110.34538104266353,70.21978793624044
G4__g4_d_augmentation_w60__svm__r0__w60__fold_4__seed_42,svm,D,augmentation,4,validation,video_03,session_03,0.09897965594162766,15,8,151.54629360245616,80.82468992130995
G4__g4_d_augmentation_w60__svm__r0__w60__fold_4__seed_42,svm,D,augmentation,4,test,video_04,session_04,0.49564397622417944,28,21,56.49216240516886,42.369121803876645
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,tcn,D,augmentation,1,validation,video_02,session_02,0.099687,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,tcn,D,augmentation,1,validation,video_03,session_03,0.09897965594162766,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,tcn,D,augmentation,1,validation,video_04,session_04,0.09894167151620005,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,tcn,D,augmentation,1,test,video_01,session_01,0.4933518182717438,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,tcn,D,augmentation,2,validation,video_01,session_01,0.08484541579462511,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,tcn,D,augmentation,2,validation,video_03,session_03,0.09897965594162766,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,tcn,D,augmentation,2,validation,video_04,session_04,0.09894167151620005,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,tcn,D,augmentation,2,test,video_02,session_02,0.498435,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,tcn,D,augmentation,3,validation,video_01,session_01,0.08484541579462511,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,tcn,D,augmentation,3,validation,video_02,session_02,0.099687,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,tcn,D,augmentation,3,validation,video_04,session_04,0.09894167151620005,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,tcn,D,augmentation,3,test,video_03,session_03,0.49538827800487906,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_4__seed_42,tcn,D,augmentation,4,validation,video_01,session_01,0.08484541579462511,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_4__seed_42,tcn,D,augmentation,4,validation,video_02,session_02,0.099687,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_4__seed_42,tcn,D,augmentation,4,validation,video_03,session_03,0.09897965594162766,0,0,0.0,0.0
G4__g4_d_augmentation_w60__tcn__r0__w60__fold_4__seed_42,tcn,D,augmentation,4,test,video_04,session_04,0.49564397622417944,0,0,0.0,0.0
