model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,scenario,balancing,seed
svm,r0_flat,2,test,fatigue,distraction,0,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,test,distraction,alert,105,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,test,distraction,fatigue,9,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,test,distraction,distraction,179,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,validation,alert,alert,698,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,validation,alert,fatigue,22,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,validation,alert,distraction,266,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,validation,fatigue,alert,11,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,validation,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,3,validation,fatigue,distraction,2,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_3__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
