model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing,scenario,strategy,configuration_id
transformer,temporal_r0,2,validation,fatigue,0.0,0.0,0.0,12,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,2,validation,distraction,0.22727272727272727,0.47297297297297297,0.30701754385964913,74,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,2,test,alert,0.9365384615384615,0.9365384615384615,0.9365384615384615,1560,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,2,test,fatigue,,,,0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,2,test,distraction,0.6476868327402135,0.6476868327402135,0.6476868327402135,281,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,3,validation,alert,0.8835051546391752,0.8844169246646026,0.8839608045384219,969,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,3,validation,fatigue,0.0,0.0,0.0,11,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,3,validation,distraction,0.27741935483870966,0.296551724137931,0.2866666666666667,145,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,3,test,alert,0.9376811594202898,0.947985347985348,0.9428051001821494,1365,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,3,test,fatigue,0.0,0.0,0.0,22,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,3,test,distraction,0.37168141592920356,0.39622641509433965,0.3835616438356164,106,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_3__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,4,validation,alert,0.9349173553719008,0.9031936127744511,0.9187817258883249,1002,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,4,validation,fatigue,0.0,0.0,0.0,12,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,4,validation,distraction,0.291970802919708,0.43956043956043955,0.3508771929824561,91,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,4,test,alert,0.8874316939890711,0.8583509513742071,0.8726491133799033,946,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,4,test,fatigue,,,,0,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,4,test,distraction,0.16770186335403728,0.2076923076923077,0.18556701030927836,130,G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_4__seed_42,G2,R0,150,42,,A,none,qualification_r0_w150_b1024
transformer,temporal_r0,1,validation,alert,0.9177750906892382,0.7597597597597597,0.8313253012048193,999,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,R0,150,42,,B,class_weights,g4_b_class_weights_w150
transformer,temporal_r0,1,validation,fatigue,0.0,0.0,0.0,1,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,R0,150,42,,B,class_weights,g4_b_class_weights_w150
