model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing
fixed_rules,r0_flat,4,test,fatigue,0.0,0.0,0.0,4,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,4,test,distraction,0.10826542491268917,0.6595744680851063,0.186,141,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,4,validation,alert,0.9247648902821317,0.869351669941061,0.8962025316455696,1018,G1__qualification_r0_flat__svm__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,4,validation,fatigue,0.0,0.0,0.0,20,G1__qualification_r0_flat__svm__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,4,validation,distraction,0.2603550295857988,0.4444444444444444,0.3283582089552239,99,G1__qualification_r0_flat__svm__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,4,test,alert,0.8912556053811659,0.828125,0.8585313174946004,960,G1__qualification_r0_flat__svm__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,4,test,fatigue,0.0,0.0,0.0,4,G1__qualification_r0_flat__svm__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,4,test,distraction,0.21890547263681592,0.3120567375886525,0.2573099415204678,141,G1__qualification_r0_flat__svm__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,4,validation,alert,0.9218106995884774,0.8801571709233792,0.9005025125628141,1018,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,4,validation,fatigue,0.0,0.0,0.0,20,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
