model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,representation,window_size_frames,seed,balancing
fixed_rules,r0_flat,2,validation,1160,0.0896551724137931,0.24617914003388863,0.06611649727909302,0.06611649727909302,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,G1,R0_flat,150,42,none
fixed_rules,r0_flat,2,test,1841,0.053775122216186855,0.1703211971895246,0.054240894303180895,0.036160596202120594,"[""alert"", ""distraction""]","[""fatigue""]",0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_2__seed_42,G1,R0_flat,150,42,none
svm,r0_flat,2,validation,1160,0.7603448275862069,0.3660140587514889,0.3380462489226312,0.3380462489226312,"[""alert"", ""fatigue"", ""distraction""]",[],9.484366000000591,True,G1__qualification_r0_flat__svm__r0_flat__w150__fold_2__seed_42,G1,R0_flat,150,42,none
svm,r0_flat,2,test,1841,0.8527973927213471,0.7541267451409801,0.7440758915254682,0.4960505943503121,"[""alert"", ""distraction""]","[""fatigue""]",9.484366000000591,True,G1__qualification_r0_flat__svm__r0_flat__w150__fold_2__seed_42,G1,R0_flat,150,42,none
random_forest,r0_flat,2,validation,1160,0.8646551724137931,0.4203449259315181,0.3969779290209689,0.3969779290209689,"[""alert"", ""fatigue"", ""distraction""]",[],1.365466799998103,True,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,G1,R0_flat,150,42,none
random_forest,r0_flat,2,test,1841,0.8951656708310701,0.7805855917510722,0.7902615996793534,0.5268410664529023,"[""alert"", ""distraction""]","[""fatigue""]",1.365466799998103,True,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_2__seed_42,G1,R0_flat,150,42,none
xgboost,r0_flat,2,validation,1160,0.8672413793103448,0.41708188635562937,0.39587927956311697,0.39587927956311697,"[""alert"", ""fatigue"", ""distraction""]",[],2.539412000001903,True,G1__qualification_r0_flat__xgboost__r0_flat__w150__fold_2__seed_42,G1,R0_flat,150,42,none
xgboost,r0_flat,2,test,1841,0.8962520369364476,0.7812266173920979,0.7917944891983669,0.5278629927989112,"[""alert"", ""distraction""]","[""fatigue""]",2.539412000001903,True,G1__qualification_r0_flat__xgboost__r0_flat__w150__fold_2__seed_42,G1,R0_flat,150,42,none
fixed_rules,r0_flat,3,validation,1125,0.12711111111111112,0.2251284058693048,0.09847109319474058,0.09847109319474058,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,G1,R0_flat,150,42,none
fixed_rules,r0_flat,3,test,1493,0.04018754186202277,0.17498706743989764,0.0351721393754564,0.0351721393754564,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_3__seed_42,G1,R0_flat,150,42,none
svm,r0_flat,3,validation,1125,0.7502222222222222,0.3587535437647533,0.35345357205546774,0.35345357205546774,"[""alert"", ""fatigue"", ""distraction""]",[],14.148051700001815,True,G1__qualification_r0_flat__svm__r0_flat__w150__fold_3__seed_42,G1,R0_flat,150,42,none
