ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,114,2,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,2,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,181,2,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,836,3,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,0,3,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,157,3,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,13,3,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,3,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,3,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,93,3,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,3,G2,lstm,fatigue,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,59,3,G2,lstm,distraction,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,1271,3,G2,lstm,alert,R0,G2__qualification_r0_w30_b1024__lstm__r0__w30__fold_3__seed_42,42,test,30
