model,ablation,fold,subset,actual,predicted,count
svm,facial_plus_missingness,4,test,alert,alert,659
svm,facial_plus_missingness,4,test,alert,fatigue,112
svm,facial_plus_missingness,4,test,alert,distraction,186
svm,facial_plus_missingness,4,test,fatigue,alert,0
svm,facial_plus_missingness,4,test,fatigue,fatigue,0
svm,facial_plus_missingness,4,test,fatigue,distraction,0
svm,facial_plus_missingness,4,test,distraction,alert,71
svm,facial_plus_missingness,4,test,distraction,fatigue,7
svm,facial_plus_missingness,4,test,distraction,distraction,60
random_forest,facial_plus_missingness,4,validation,alert,alert,882
random_forest,facial_plus_missingness,4,validation,alert,fatigue,5
random_forest,facial_plus_missingness,4,validation,alert,distraction,125
random_forest,facial_plus_missingness,4,validation,fatigue,alert,17
random_forest,facial_plus_missingness,4,validation,fatigue,fatigue,0
random_forest,facial_plus_missingness,4,validation,fatigue,distraction,0
random_forest,facial_plus_missingness,4,validation,distraction,alert,49
random_forest,facial_plus_missingness,4,validation,distraction,fatigue,0
random_forest,facial_plus_missingness,4,validation,distraction,distraction,47
random_forest,facial_plus_missingness,4,test,alert,alert,782
random_forest,facial_plus_missingness,4,test,alert,fatigue,1
random_forest,facial_plus_missingness,4,test,alert,distraction,174
random_forest,facial_plus_missingness,4,test,fatigue,alert,0
random_forest,facial_plus_missingness,4,test,fatigue,fatigue,0
random_forest,facial_plus_missingness,4,test,fatigue,distraction,0
random_forest,facial_plus_missingness,4,test,distraction,alert,86
random_forest,facial_plus_missingness,4,test,distraction,fatigue,0
random_forest,facial_plus_missingness,4,test,distraction,distraction,52
xgboost,facial_plus_missingness,4,validation,alert,alert,843
xgboost,facial_plus_missingness,4,validation,alert,fatigue,21
xgboost,facial_plus_missingness,4,validation,alert,distraction,148
xgboost,facial_plus_missingness,4,validation,fatigue,alert,16
xgboost,facial_plus_missingness,4,validation,fatigue,fatigue,0
xgboost,facial_plus_missingness,4,validation,fatigue,distraction,1
xgboost,facial_plus_missingness,4,validation,distraction,alert,45
xgboost,facial_plus_missingness,4,validation,distraction,fatigue,4
xgboost,facial_plus_missingness,4,validation,distraction,distraction,47
xgboost,facial_plus_missingness,4,test,alert,alert,741
xgboost,facial_plus_missingness,4,test,alert,fatigue,19
xgboost,facial_plus_missingness,4,test,alert,distraction,197
xgboost,facial_plus_missingness,4,test,fatigue,alert,0
xgboost,facial_plus_missingness,4,test,fatigue,fatigue,0
xgboost,facial_plus_missingness,4,test,fatigue,distraction,0
xgboost,facial_plus_missingness,4,test,distraction,alert,77
xgboost,facial_plus_missingness,4,test,distraction,fatigue,1
xgboost,facial_plus_missingness,4,test,distraction,distraction,60
svm,missingness_only,1,validation,alert,alert,794
svm,missingness_only,1,validation,alert,fatigue,98
svm,missingness_only,1,validation,alert,distraction,122
svm,missingness_only,1,validation,fatigue,alert,2
svm,missingness_only,1,validation,fatigue,fatigue,2
svm,missingness_only,1,validation,fatigue,distraction,0
svm,missingness_only,1,validation,distraction,alert,73
svm,missingness_only,1,validation,distraction,fatigue,25
svm,missingness_only,1,validation,distraction,distraction,64
svm,missingness_only,1,test,alert,alert,920
svm,missingness_only,1,test,alert,fatigue,71
svm,missingness_only,1,test,alert,distraction,97
svm,missingness_only,1,test,fatigue,alert,22
svm,missingness_only,1,test,fatigue,fatigue,15
svm,missingness_only,1,test,fatigue,distraction,30
svm,missingness_only,1,test,distraction,alert,80
svm,missingness_only,1,test,distraction,fatigue,47
svm,missingness_only,1,test,distraction,distraction,252
random_forest,missingness_only,1,validation,alert,alert,869
random_forest,missingness_only,1,validation,alert,fatigue,5
random_forest,missingness_only,1,validation,alert,distraction,140
random_forest,missingness_only,1,validation,fatigue,alert,2
random_forest,missingness_only,1,validation,fatigue,fatigue,0
random_forest,missingness_only,1,validation,fatigue,distraction,2
random_forest,missingness_only,1,validation,distraction,alert,103
random_forest,missingness_only,1,validation,distraction,fatigue,0
random_forest,missingness_only,1,validation,distraction,distraction,59
random_forest,missingness_only,1,test,alert,alert,965
random_forest,missingness_only,1,test,alert,fatigue,10
random_forest,missingness_only,1,test,alert,distraction,113
random_forest,missingness_only,1,test,fatigue,alert,33
random_forest,missingness_only,1,test,fatigue,fatigue,2
random_forest,missingness_only,1,test,fatigue,distraction,32
random_forest,missingness_only,1,test,distraction,alert,128
random_forest,missingness_only,1,test,distraction,fatigue,2
random_forest,missingness_only,1,test,distraction,distraction,249
xgboost,missingness_only,1,validation,alert,alert,819
xgboost,missingness_only,1,validation,alert,fatigue,33
xgboost,missingness_only,1,validation,alert,distraction,162
xgboost,missingness_only,1,validation,fatigue,alert,2
xgboost,missingness_only,1,validation,fatigue,fatigue,0
xgboost,missingness_only,1,validation,fatigue,distraction,2
xgboost,missingness_only,1,validation,distraction,alert,84
xgboost,missingness_only,1,validation,distraction,fatigue,11
xgboost,missingness_only,1,validation,distraction,distraction,67
xgboost,missingness_only,1,test,alert,alert,937
xgboost,missingness_only,1,test,alert,fatigue,25
xgboost,missingness_only,1,test,alert,distraction,126
xgboost,missingness_only,1,test,fatigue,alert,19
xgboost,missingness_only,1,test,fatigue,fatigue,8
xgboost,missingness_only,1,test,fatigue,distraction,40
xgboost,missingness_only,1,test,distraction,alert,83
xgboost,missingness_only,1,test,distraction,fatigue,16
xgboost,missingness_only,1,test,distraction,distraction,280
svm,missingness_only,2,validation,alert,alert,832
svm,missingness_only,2,validation,alert,fatigue,167
svm,missingness_only,2,validation,alert,distraction,81
svm,missingness_only,2,validation,fatigue,alert,15
svm,missingness_only,2,validation,fatigue,fatigue,2
svm,missingness_only,2,validation,fatigue,distraction,0
svm,missingness_only,2,validation,distraction,alert,29
svm,missingness_only,2,validation,distraction,fatigue,28
svm,missingness_only,2,validation,distraction,distraction,19
svm,missingness_only,2,test,alert,alert,1367
svm,missingness_only,2,test,alert,fatigue,128
svm,missingness_only,2,test,alert,distraction,76
svm,missingness_only,2,test,fatigue,alert,0
svm,missingness_only,2,test,fatigue,fatigue,0
svm,missingness_only,2,test,fatigue,distraction,0
svm,missingness_only,2,test,distraction,alert,90
svm,missingness_only,2,test,distraction,fatigue,36
svm,missingness_only,2,test,distraction,distraction,167
random_forest,missingness_only,2,validation,alert,alert,886
random_forest,missingness_only,2,validation,alert,fatigue,33
random_forest,missingness_only,2,validation,alert,distraction,161
random_forest,missingness_only,2,validation,fatigue,alert,17
random_forest,missingness_only,2,validation,fatigue,fatigue,0
random_forest,missingness_only,2,validation,fatigue,distraction,0
random_forest,missingness_only,2,validation,distraction,alert,39
random_forest,missingness_only,2,validation,distraction,fatigue,6
random_forest,missingness_only,2,validation,distraction,distraction,31
random_forest,missingness_only,2,test,alert,alert,1405
random_forest,missingness_only,2,test,alert,fatigue,27
random_forest,missingness_only,2,test,alert,distraction,139
random_forest,missingness_only,2,test,fatigue,alert,0
random_forest,missingness_only,2,test,fatigue,fatigue,0
random_forest,missingness_only,2,test,fatigue,distraction,0
random_forest,missingness_only,2,test,distraction,alert,98
random_forest,missingness_only,2,test,distraction,fatigue,6
random_forest,missingness_only,2,test,distraction,distraction,189
xgboost,missingness_only,2,validation,alert,alert,851
xgboost,missingness_only,2,validation,alert,fatigue,106
xgboost,missingness_only,2,validation,alert,distraction,123
xgboost,missingness_only,2,validation,fatigue,alert,17
xgboost,missingness_only,2,validation,fatigue,fatigue,0
xgboost,missingness_only,2,validation,fatigue,distraction,0
xgboost,missingness_only,2,validation,distraction,alert,29
xgboost,missingness_only,2,validation,distraction,fatigue,16
xgboost,missingness_only,2,validation,distraction,distraction,31
xgboost,missingness_only,2,test,alert,alert,1384
