model,ablation,fold,subset,actual,predicted,count,preprocessing,window_size_frames,num_features
random_forest,all_features,1,test,fatigue,alert,41,short_gap_interpolation,30,14
random_forest,all_features,1,test,fatigue,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,1,test,fatigue,distraction,27,short_gap_interpolation,30,14
random_forest,all_features,1,test,distraction,alert,132,short_gap_interpolation,30,14
random_forest,all_features,1,test,distraction,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,1,test,distraction,distraction,247,short_gap_interpolation,30,14
xgboost,all_features,1,validation,alert,alert,860,short_gap_interpolation,30,14
xgboost,all_features,1,validation,alert,fatigue,5,short_gap_interpolation,30,14
xgboost,all_features,1,validation,alert,distraction,157,short_gap_interpolation,30,14
xgboost,all_features,1,validation,fatigue,alert,6,short_gap_interpolation,30,14
xgboost,all_features,1,validation,fatigue,fatigue,0,short_gap_interpolation,30,14
xgboost,all_features,1,validation,fatigue,distraction,1,short_gap_interpolation,30,14
xgboost,all_features,1,validation,distraction,alert,97,short_gap_interpolation,30,14
xgboost,all_features,1,validation,distraction,fatigue,2,short_gap_interpolation,30,14
xgboost,all_features,1,validation,distraction,distraction,66,short_gap_interpolation,30,14
xgboost,all_features,1,test,alert,alert,924,short_gap_interpolation,30,14
xgboost,all_features,1,test,alert,fatigue,11,short_gap_interpolation,30,14
xgboost,all_features,1,test,alert,distraction,153,short_gap_interpolation,30,14
xgboost,all_features,1,test,fatigue,alert,38,short_gap_interpolation,30,14
xgboost,all_features,1,test,fatigue,fatigue,0,short_gap_interpolation,30,14
xgboost,all_features,1,test,fatigue,distraction,30,short_gap_interpolation,30,14
xgboost,all_features,1,test,distraction,alert,102,short_gap_interpolation,30,14
xgboost,all_features,1,test,distraction,fatigue,2,short_gap_interpolation,30,14
xgboost,all_features,1,test,distraction,distraction,275,short_gap_interpolation,30,14
svm,all_features,2,validation,alert,alert,856,short_gap_interpolation,30,14
svm,all_features,2,validation,alert,fatigue,67,short_gap_interpolation,30,14
svm,all_features,2,validation,alert,distraction,163,short_gap_interpolation,30,14
svm,all_features,2,validation,fatigue,alert,15,short_gap_interpolation,30,14
svm,all_features,2,validation,fatigue,fatigue,4,short_gap_interpolation,30,14
svm,all_features,2,validation,fatigue,distraction,1,short_gap_interpolation,30,14
svm,all_features,2,validation,distraction,alert,38,short_gap_interpolation,30,14
svm,all_features,2,validation,distraction,fatigue,5,short_gap_interpolation,30,14
svm,all_features,2,validation,distraction,distraction,36,short_gap_interpolation,30,14
svm,all_features,2,test,alert,alert,1415,short_gap_interpolation,30,14
svm,all_features,2,test,alert,fatigue,41,short_gap_interpolation,30,14
svm,all_features,2,test,alert,distraction,124,short_gap_interpolation,30,14
svm,all_features,2,test,fatigue,alert,0,short_gap_interpolation,30,14
svm,all_features,2,test,fatigue,fatigue,0,short_gap_interpolation,30,14
svm,all_features,2,test,fatigue,distraction,0,short_gap_interpolation,30,14
svm,all_features,2,test,distraction,alert,103,short_gap_interpolation,30,14
svm,all_features,2,test,distraction,fatigue,11,short_gap_interpolation,30,14
svm,all_features,2,test,distraction,distraction,181,short_gap_interpolation,30,14
random_forest,all_features,2,validation,alert,alert,949,short_gap_interpolation,30,14
random_forest,all_features,2,validation,alert,fatigue,1,short_gap_interpolation,30,14
random_forest,all_features,2,validation,alert,distraction,136,short_gap_interpolation,30,14
random_forest,all_features,2,validation,fatigue,alert,20,short_gap_interpolation,30,14
random_forest,all_features,2,validation,fatigue,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,2,validation,fatigue,distraction,0,short_gap_interpolation,30,14
random_forest,all_features,2,validation,distraction,alert,52,short_gap_interpolation,30,14
random_forest,all_features,2,validation,distraction,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,2,validation,distraction,distraction,27,short_gap_interpolation,30,14
random_forest,all_features,2,test,alert,alert,1470,short_gap_interpolation,30,14
random_forest,all_features,2,test,alert,fatigue,1,short_gap_interpolation,30,14
random_forest,all_features,2,test,alert,distraction,109,short_gap_interpolation,30,14
random_forest,all_features,2,test,fatigue,alert,0,short_gap_interpolation,30,14
random_forest,all_features,2,test,fatigue,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,2,test,fatigue,distraction,0,short_gap_interpolation,30,14
random_forest,all_features,2,test,distraction,alert,106,short_gap_interpolation,30,14
random_forest,all_features,2,test,distraction,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,2,test,distraction,distraction,189,short_gap_interpolation,30,14
xgboost,all_features,2,validation,alert,alert,917,short_gap_interpolation,30,14
