model,ablation,fold,subset,label,precision,recall,f1,support
svm,facial_plus_missingness,1,test,alert,0.8657865786578658,0.7233455882352942,0.7881822734101152,1088
svm,facial_plus_missingness,1,test,fatigue,0.02666666666666667,0.05970149253731343,0.03686635944700461,67
svm,facial_plus_missingness,1,test,distraction,0.5452631578947369,0.683377308707124,0.6065573770491803,379
random_forest,facial_plus_missingness,1,validation,alert,0.8915094339622641,0.9319526627218935,0.9112825458052073,1014
random_forest,facial_plus_missingness,1,validation,fatigue,0.0,0.0,0.0,4
random_forest,facial_plus_missingness,1,validation,distraction,0.425,0.3148148148148148,0.3617021276595745,162
random_forest,facial_plus_missingness,1,test,alert,0.8333333333333334,0.9329044117647058,0.8803122289679098,1088
random_forest,facial_plus_missingness,1,test,fatigue,0.0,0.0,0.0,67
random_forest,facial_plus_missingness,1,test,distraction,0.7151898734177216,0.5963060686015831,0.6503597122302158,379
xgboost,facial_plus_missingness,1,validation,alert,0.9029535864978903,0.8441814595660749,0.872579001019368,1014
xgboost,facial_plus_missingness,1,validation,fatigue,0.0,0.0,0.0,4
xgboost,facial_plus_missingness,1,validation,distraction,0.32,0.4444444444444444,0.37209302325581395,162
xgboost,facial_plus_missingness,1,test,alert,0.8673932788374206,0.8777573529411765,0.8725445408862494,1088
xgboost,facial_plus_missingness,1,test,fatigue,0.0,0.0,0.0,67
xgboost,facial_plus_missingness,1,test,distraction,0.6450116009280742,0.7335092348284961,0.6864197530864198,379
svm,facial_plus_missingness,2,validation,alert,0.9455621301775148,0.7398148148148148,0.8301298701298702,1080
svm,facial_plus_missingness,2,validation,fatigue,0.019417475728155338,0.11764705882352941,0.03333333333333333,17
svm,facial_plus_missingness,2,validation,distraction,0.17777777777777778,0.5263157894736842,0.26578073089701,76
svm,facial_plus_missingness,2,test,alert,0.9374149659863945,0.8771483131763208,0.906280828674778,1571
svm,facial_plus_missingness,2,test,fatigue,,,,0
svm,facial_plus_missingness,2,test,distraction,0.6006600660066007,0.621160409556314,0.610738255033557,293
random_forest,facial_plus_missingness,2,validation,alert,0.9385530227948464,0.8768518518518519,0.906653901388224,1080
random_forest,facial_plus_missingness,2,validation,fatigue,0.0,0.0,0.0,17
random_forest,facial_plus_missingness,2,validation,distraction,0.1962025316455696,0.40789473684210525,0.26495726495726496,76
random_forest,facial_plus_missingness,2,test,alert,0.9346153846153846,0.928071292170592,0.9313318428617056,1571
random_forest,facial_plus_missingness,2,test,fatigue,,,,0
random_forest,facial_plus_missingness,2,test,distraction,0.6321070234113713,0.6450511945392492,0.6385135135135135,293
xgboost,facial_plus_missingness,2,validation,alert,0.9459745762711864,0.8268518518518518,0.8824110671936759,1080
xgboost,facial_plus_missingness,2,validation,fatigue,0.0,0.0,0.0,17
xgboost,facial_plus_missingness,2,validation,distraction,0.1932367149758454,0.5263157894736842,0.2826855123674912,76
xgboost,facial_plus_missingness,2,test,alert,0.9351911860012961,0.9185232336091661,0.9267822736030829,1571
xgboost,facial_plus_missingness,2,test,fatigue,,,,0
xgboost,facial_plus_missingness,2,test,distraction,0.6196721311475409,0.6450511945392492,0.6321070234113713,293
svm,facial_plus_missingness,3,validation,alert,0.8901601830663616,0.7890466531440162,0.8365591397849462,986
svm,facial_plus_missingness,3,validation,fatigue,0.0,0.0,0.0,13
svm,facial_plus_missingness,3,validation,distraction,0.26495726495726496,0.40789473684210525,0.32124352331606215,152
