model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,candidate_id,parameters
xgboost,missingness_only,2,validation,1173,0.7604433077578857,0.4220922677063028,0.3837794587325601,0.3837794587325601,"[""alert"", ""fatigue"", ""distraction""]",[],1.8516483999992488,False,a4ed4de96c0f,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,missingness_only,2,test,1864,0.8412017167381974,0.7503122942931069,0.7574296836449367,0.5049531224299578,"[""alert"", ""distraction""]","[""fatigue""]",1.8516483999992488,False,a4ed4de96c0f,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,missingness_only,3,validation,1151,0.735881841876629,0.3920723461798512,0.38617259520033925,0.38617259520033925,"[""alert"", ""fatigue"", ""distraction""]",[],0.17931429999953252,False,b785e498e470,"{""C"": 0.1, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
svm,missingness_only,3,test,1500,0.8386666666666667,0.5406441228039619,0.4770460233903348,0.4770460233903348,"[""alert"", ""fatigue"", ""distraction""]",[],0.17931429999953252,False,b785e498e470,"{""C"": 0.1, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
random_forest,missingness_only,3,validation,1151,0.739357080799305,0.40455410839471906,0.3897352063764743,0.3897352063764743,"[""alert"", ""fatigue"", ""distraction""]",[],0.7017182000017783,False,d5eb4fec9dc7,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 3, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,missingness_only,3,test,1500,0.864,0.4901258113584375,0.4598456690986403,0.4598456690986403,"[""alert"", ""fatigue"", ""distraction""]",[],0.7017182000017783,False,d5eb4fec9dc7,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 3, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,missingness_only,3,validation,1151,0.7106863596872285,0.365574178854845,0.37638971027168105,0.37638971027168105,"[""alert"", ""fatigue"", ""distraction""]",[],0.6981919999998354,False,9ff407e47a79,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,missingness_only,3,test,1500,0.842,0.4860138642143031,0.45423068405818795,0.45423068405818795,"[""alert"", ""fatigue"", ""distraction""]",[],0.6981919999998354,False,9ff407e47a79,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,missingness_only,4,validation,1125,0.7493333333333333,0.42936720142602497,0.39776549829665137,0.39776549829665137,"[""alert"", ""fatigue"", ""distraction""]",[],0.37077080000017304,False,c8da45025ca6,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
svm,missingness_only,4,test,1095,0.6474885844748859,0.49755803916223706,0.5215008439412697,0.3476672292941798,"[""alert"", ""distraction""]","[""fatigue""]",0.37077080000017304,False,c8da45025ca6,"{""C"": 10.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
random_forest,missingness_only,4,validation,1125,0.7884444444444444,0.4430171277997365,0.4060135315588,0.4060135315588,"[""alert"", ""fatigue"", ""distraction""]",[],1.8578656999998202,False,e0c6471ac708,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500, ""n_jobs"": -1}"
