model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,preprocessing,window_size_frames,num_features
svm,all_features,2,validation,1173,0.7570332480818415,0.4249350227420403,0.3714448177223857,0.3714448177223857,"[""alert"", ""fatigue"", ""distraction""]",[],0.20956650000152877,True,short_gap_interpolation,60,14
svm,all_features,2,test,1864,0.8508583690987125,0.7615939935216585,0.760776804548027,0.5071845363653513,"[""alert"", ""distraction""]","[""fatigue""]",0.20956650000152877,True,short_gap_interpolation,60,14
random_forest,all_features,2,validation,1173,0.8448422847399829,0.4404158544509422,0.40090813305905376,0.40090813305905376,"[""alert"", ""fatigue"", ""distraction""]",[],1.1120774999999412,True,short_gap_interpolation,60,14
random_forest,all_features,2,test,1864,0.8825107296137339,0.780371842025796,0.7797421294099035,0.519828086273269,"[""alert"", ""distraction""]","[""fatigue""]",1.1120774999999412,True,short_gap_interpolation,60,14
xgboost,all_features,2,validation,1173,0.8081841432225064,0.41898960363872645,0.3768462339890912,0.3768462339890912,"[""alert"", ""fatigue"", ""distraction""]",[],4.707461999998486,True,short_gap_interpolation,60,14
xgboost,all_features,2,test,1864,0.8733905579399142,0.7721848434618066,0.7684200668896322,0.5122800445930881,"[""alert"", ""distraction""]","[""fatigue""]",4.707461999998486,True,short_gap_interpolation,60,14
svm,all_features,3,validation,1151,0.7515204170286707,0.39815753887762,0.3867885464945271,0.3867885464945271,"[""alert"", ""fatigue"", ""distraction""]",[],0.22748979999960284,True,short_gap_interpolation,60,14
svm,all_features,3,test,1500,0.8826666666666667,0.4703948514299648,0.44901750145472447,0.44901750145472447,"[""alert"", ""fatigue"", ""distraction""]",[],0.22748979999960284,True,short_gap_interpolation,60,14
random_forest,all_features,3,validation,1151,0.7975673327541268,0.39567097256325395,0.39459466929802006,0.39459466929802006,"[""alert"", ""fatigue"", ""distraction""]",[],1.1135804999994434,True,short_gap_interpolation,60,14
random_forest,all_features,3,test,1500,0.8986666666666666,0.4680500400599157,0.46029610947643734,0.46029610947643734,"[""alert"", ""fatigue"", ""distraction""]",[],1.1135804999994434,True,short_gap_interpolation,60,14
xgboost,all_features,3,validation,1151,0.7532580364900087,0.4006885875947475,0.3880656681918511,0.3880656681918511,"[""alert"", ""fatigue"", ""distraction""]",[],1.676089000000502,True,short_gap_interpolation,60,14
xgboost,all_features,3,test,1500,0.862,0.46556806702198067,0.4325991022077585,0.4325991022077585,"[""alert"", ""fatigue"", ""distraction""]",[],1.676089000000502,True,short_gap_interpolation,60,14
svm,all_features,4,validation,1125,0.7626666666666667,0.43388649926373707,0.3937752118116127,0.3937752118116127,"[""alert"", ""fatigue"", ""distraction""]",[],0.2563181000004988,True,short_gap_interpolation,60,14
svm,all_features,4,test,1095,0.6876712328767123,0.5670573804007087,0.5405884579374092,0.3603923052916061,"[""alert"", ""distraction""]","[""fatigue""]",0.2563181000004988,True,short_gap_interpolation,60,14
random_forest,all_features,4,validation,1125,0.8346666666666667,0.45071640316205536,0.41911252532928067,0.41911252532928067,"[""alert"", ""fatigue"", ""distraction""]",[],1.203679700000066,True,short_gap_interpolation,60,14
random_forest,all_features,4,test,1095,0.7662100456621005,0.6119894598155469,0.5831721877208547,0.3887814584805698,"[""alert"", ""distraction""]","[""fatigue""]",1.203679700000066,True,short_gap_interpolation,60,14
xgboost,all_features,4,validation,1125,0.8026666666666666,0.4451443785682916,0.4035750638404257,0.4035750638404257,"[""alert"", ""fatigue"", ""distraction""]",[],3.473762899999201,True,short_gap_interpolation,60,14
xgboost,all_features,4,test,1095,0.7269406392694064,0.5926241424742175,0.5594298598808182,0.37295323992054547,"[""alert"", ""distraction""]","[""fatigue""]",3.473762899999201,True,short_gap_interpolation,60,14
svm,all_features,1,validation,1180,0.7550847457627119,0.4104633890958677,0.3955004982173757,0.3955004982173757,"[""alert"", ""fatigue"", ""distraction""]",[],0.2654065000006085,True,short_gap_interpolation_with_flags,60,17
svm,all_features,1,test,1534,0.7131681877444589,0.49933917493473184,0.48095967331057654,0.48095967331057654,"[""alert"", ""fatigue"", ""distraction""]",[],0.2654065000006085,True,short_gap_interpolation_with_flags,60,17
random_forest,all_features,1,validation,1180,0.8398305084745763,0.412216621618331,0.41987231074628467,0.41987231074628467,"[""alert"", ""fatigue"", ""distraction""]",[],1.1496567000012874,True,short_gap_interpolation_with_flags,60,17
random_forest,all_features,1,test,1534,0.7972620599739244,0.495625097004501,0.4973635795905278,0.4973635795905278,"[""alert"", ""fatigue"", ""distraction""]",[],1.1496567000012874,True,short_gap_interpolation_with_flags,60,17
xgboost,all_features,1,validation,1180,0.7991525423728814,0.41718411376531034,0.4110160056459435,0.4110160056459435,"[""alert"", ""fatigue"", ""distraction""]",[],3.7478563000004215,True,short_gap_interpolation_with_flags,60,17
xgboost,all_features,1,test,1534,0.8005215123859192,0.5321181902840292,0.516044493138587,0.516044493138587,"[""alert"", ""fatigue"", ""distraction""]",[],3.7478563000004215,True,short_gap_interpolation_with_flags,60,17
svm,all_features,2,validation,1173,0.7493606138107417,0.40992527615334634,0.36432399108455443,0.36432399108455443,"[""alert"", ""fatigue"", ""distraction""]",[],0.2426164999997127,True,short_gap_interpolation_with_flags,60,17
svm,all_features,2,test,1864,0.8546137339055794,0.7624336578297339,0.7625493137505999,0.5083662091670665,"[""alert"", ""distraction""]","[""fatigue""]",0.2426164999997127,True,short_gap_interpolation_with_flags,60,17
random_forest,all_features,2,validation,1173,0.8329070758738278,0.43201754385964913,0.3939674458072977,0.3939674458072977,"[""alert"", ""fatigue"", ""distraction""]",[],1.090245399998821,True,short_gap_interpolation_with_flags,60,17
random_forest,all_features,2,test,1864,0.8283261802575107,0.6107933252661834,0.6291879831306355,0.41945865542042365,"[""alert"", ""distraction""]","[""fatigue""]",1.090245399998821,True,short_gap_interpolation_with_flags,60,17
xgboost,all_features,2,validation,1173,0.7971014492753623,0.42313190383365823,0.37796015025314383,0.37796015025314383,"[""alert"", ""fatigue"", ""distraction""]",[],5.411616600000343,True,short_gap_interpolation_with_flags,60,17
xgboost,all_features,2,test,1864,0.8143776824034334,0.6025183411796143,0.618835233623966,0.4125568224159773,"[""alert"", ""distraction""]","[""fatigue""]",5.411616600000343,True,short_gap_interpolation_with_flags,60,17
svm,all_features,3,validation,1151,0.7489139878366637,0.3989982562898118,0.3862364134907981,0.3862364134907981,"[""alert"", ""fatigue"", ""distraction""]",[],0.28881639999963227,True,short_gap_interpolation_with_flags,60,17
svm,all_features,3,test,1500,0.8833333333333333,0.4944649098361607,0.4762098453293646,0.4762098453293646,"[""alert"", ""fatigue"", ""distraction""]",[],0.28881639999963227,True,short_gap_interpolation_with_flags,60,17
