model,ablation,fold,subset,label,precision,recall,f1,support,preprocessing,window_size_frames,num_features
random_forest,all_features,3,test,distraction,0.38405797101449274,0.452991452991453,0.41568627450980394,117,short_gap_interpolation,30,14
xgboost,all_features,3,validation,alert,0.8875675675675676,0.8267875125881168,0.8561001042752867,993,short_gap_interpolation,30,14
xgboost,all_features,3,validation,fatigue,0.0,0.0,0.0,13,short_gap_interpolation,30,14
xgboost,all_features,3,validation,distraction,0.26785714285714285,0.39473684210526316,0.3191489361702128,152,short_gap_interpolation,30,14
xgboost,all_features,3,test,alert,0.9423805913570887,0.9066374908825675,0.9241635687732342,1371,short_gap_interpolation,30,14
xgboost,all_features,3,test,fatigue,0.0,0.0,0.0,25,short_gap_interpolation,30,14
xgboost,all_features,3,test,distraction,0.32460732984293195,0.5299145299145299,0.4025974025974026,117,short_gap_interpolation,30,14
svm,all_features,4,validation,alert,0.9247685185185185,0.7848722986247544,0.8490967056323061,1018,short_gap_interpolation,30,14
svm,all_features,4,validation,fatigue,0.0547945205479452,0.2,0.08602150537634409,20,short_gap_interpolation,30,14
svm,all_features,4,validation,distraction,0.21,0.42424242424242425,0.2809364548494983,99,short_gap_interpolation,30,14
svm,all_features,4,test,alert,0.8868660598179454,0.7104166666666667,0.7888953152111047,960,short_gap_interpolation,30,14
svm,all_features,4,test,fatigue,0.0,0.0,0.0,4,short_gap_interpolation,30,14
svm,all_features,4,test,distraction,0.19776119402985073,0.375886524822695,0.2591687041564792,141,short_gap_interpolation,30,14
random_forest,all_features,4,validation,alert,0.9276111685625646,0.881139489194499,0.9037783375314862,1018,short_gap_interpolation,30,14
random_forest,all_features,4,validation,fatigue,0.0,0.0,0.0,20,short_gap_interpolation,30,14
random_forest,all_features,4,validation,distraction,0.28402366863905326,0.48484848484848486,0.3582089552238806,99,short_gap_interpolation,30,14
random_forest,all_features,4,test,alert,0.8904267589388697,0.8041666666666667,0.8451012588943624,960,short_gap_interpolation,30,14
random_forest,all_features,4,test,fatigue,0.0,0.0,0.0,4,short_gap_interpolation,30,14
random_forest,all_features,4,test,distraction,0.2109704641350211,0.3546099290780142,0.26455026455026454,141,short_gap_interpolation,30,14
xgboost,all_features,4,validation,alert,0.9256830601092896,0.8320235756385069,0.8763579927573719,1018,short_gap_interpolation,30,14
xgboost,all_features,4,validation,fatigue,0.0,0.0,0.0,20,short_gap_interpolation,30,14
xgboost,all_features,4,validation,distraction,0.22535211267605634,0.48484848484848486,0.3076923076923077,99,short_gap_interpolation,30,14
xgboost,all_features,4,test,alert,0.8950542822677925,0.7729166666666667,0.8295136948015651,960,short_gap_interpolation,30,14
xgboost,all_features,4,test,fatigue,0.0,0.0,0.0,4,short_gap_interpolation,30,14
xgboost,all_features,4,test,distraction,0.2126865671641791,0.40425531914893614,0.2787286063569682,141,short_gap_interpolation,30,14
svm,all_features,1,validation,alert,0.8836633663366337,0.6986301369863014,0.780327868852459,1022,short_gap_interpolation_with_flags,30,17
svm,all_features,1,validation,fatigue,0.03787878787878788,0.7142857142857143,0.07194244604316546,7,short_gap_interpolation_with_flags,30,17
svm,all_features,1,validation,distraction,0.27165354330708663,0.41818181818181815,0.32935560859188545,165,short_gap_interpolation_with_flags,30,17
svm,all_features,1,test,alert,0.8621830209481808,0.71875,0.7839598997493734,1088,short_gap_interpolation_with_flags,30,17
svm,all_features,1,test,fatigue,0.024390243902439025,0.029411764705882353,0.02666666666666667,68,short_gap_interpolation_with_flags,30,17
svm,all_features,1,test,distraction,0.5128205128205128,0.7387862796833773,0.6054054054054054,379,short_gap_interpolation_with_flags,30,17
random_forest,all_features,1,validation,alert,0.8876298394711992,0.9197651663405088,0.9034118212397886,1022,short_gap_interpolation_with_flags,30,17
random_forest,all_features,1,validation,fatigue,0.0,0.0,0.0,7,short_gap_interpolation_with_flags,30,17
random_forest,all_features,1,validation,distraction,0.39849624060150374,0.3212121212121212,0.35570469798657717,165,short_gap_interpolation_with_flags,30,17
random_forest,all_features,1,test,alert,0.8430717863105175,0.9283088235294118,0.8836395450568679,1088,short_gap_interpolation_with_flags,30,17
random_forest,all_features,1,test,fatigue,0.0,0.0,0.0,68,short_gap_interpolation_with_flags,30,17
random_forest,all_features,1,test,distraction,0.6964285714285714,0.6174142480211082,0.6545454545454545,379,short_gap_interpolation_with_flags,30,17
xgboost,all_features,1,validation,alert,0.8938144329896908,0.8483365949119374,0.8704819277108434,1022,short_gap_interpolation_with_flags,30,17
xgboost,all_features,1,validation,fatigue,0.0,0.0,0.0,7,short_gap_interpolation_with_flags,30,17
xgboost,all_features,1,validation,distraction,0.3051643192488263,0.3939393939393939,0.3439153439153439,165,short_gap_interpolation_with_flags,30,17
xgboost,all_features,1,test,alert,0.8684701492537313,0.8556985294117647,0.862037037037037,1088,short_gap_interpolation_with_flags,30,17
xgboost,all_features,1,test,fatigue,0.0,0.0,0.0,68,short_gap_interpolation_with_flags,30,17
xgboost,all_features,1,test,distraction,0.6085011185682326,0.7176781002638523,0.6585956416464891,379,short_gap_interpolation_with_flags,30,17
svm,all_features,2,validation,alert,0.9404117009750813,0.7992633517495396,0.8641114982578397,1086,short_gap_interpolation_with_flags,30,17
svm,all_features,2,validation,fatigue,0.06153846153846154,0.2,0.09411764705882353,20,short_gap_interpolation_with_flags,30,17
svm,all_features,2,validation,distraction,0.18274111675126903,0.45569620253164556,0.2608695652173913,79,short_gap_interpolation_with_flags,30,17
svm,all_features,2,test,alert,0.9335526315789474,0.8981012658227848,0.915483870967742,1580,short_gap_interpolation_with_flags,30,17
svm,all_features,2,test,fatigue,,,,0,short_gap_interpolation_with_flags,30,17
svm,all_features,2,test,distraction,0.5893416927899686,0.6372881355932203,0.6123778501628665,295,short_gap_interpolation_with_flags,30,17
random_forest,all_features,2,validation,alert,0.9310344827586207,0.8701657458563536,0.8995716325559258,1086,short_gap_interpolation_with_flags,30,17
random_forest,all_features,2,validation,fatigue,0.0,0.0,0.0,20,short_gap_interpolation_with_flags,30,17
random_forest,all_features,2,validation,distraction,0.17419354838709677,0.34177215189873417,0.23076923076923078,79,short_gap_interpolation_with_flags,30,17
random_forest,all_features,2,test,alert,0.8849397590361445,0.9297468354430379,0.9067901234567901,1580,short_gap_interpolation_with_flags,30,17
random_forest,all_features,2,test,fatigue,,,,0,short_gap_interpolation_with_flags,30,17
random_forest,all_features,2,test,distraction,0.4666666666666667,0.2847457627118644,0.35368421052631577,295,short_gap_interpolation_with_flags,30,17
xgboost,all_features,2,validation,alert,0.9342915811088296,0.8379373848987108,0.883495145631068,1086,short_gap_interpolation_with_flags,30,17
xgboost,all_features,2,validation,fatigue,0.0,0.0,0.0,20,short_gap_interpolation_with_flags,30,17
xgboost,all_features,2,validation,distraction,0.15760869565217392,0.3670886075949367,0.22053231939163498,79,short_gap_interpolation_with_flags,30,17
xgboost,all_features,2,test,alert,0.8856269113149847,0.9164556962025316,0.9007776049766718,1580,short_gap_interpolation_with_flags,30,17
xgboost,all_features,2,test,fatigue,,,,0,short_gap_interpolation_with_flags,30,17
xgboost,all_features,2,test,distraction,0.43349753694581283,0.2983050847457627,0.3534136546184739,295,short_gap_interpolation_with_flags,30,17
