model,ablation,fold,subset,actual,predicted,count
xgboost,facial_plus_missingness,2,test,alert,fatigue,13
xgboost,facial_plus_missingness,2,test,alert,distraction,113
xgboost,facial_plus_missingness,2,test,fatigue,alert,0
xgboost,facial_plus_missingness,2,test,fatigue,fatigue,0
xgboost,facial_plus_missingness,2,test,fatigue,distraction,0
xgboost,facial_plus_missingness,2,test,distraction,alert,101
xgboost,facial_plus_missingness,2,test,distraction,fatigue,4
xgboost,facial_plus_missingness,2,test,distraction,distraction,188
svm,facial_plus_missingness,3,validation,alert,alert,760
svm,facial_plus_missingness,3,validation,alert,fatigue,59
svm,facial_plus_missingness,3,validation,alert,distraction,167
svm,facial_plus_missingness,3,validation,fatigue,alert,12
svm,facial_plus_missingness,3,validation,fatigue,fatigue,1
svm,facial_plus_missingness,3,validation,fatigue,distraction,0
svm,facial_plus_missingness,3,validation,distraction,alert,80
svm,facial_plus_missingness,3,validation,distraction,fatigue,7
svm,facial_plus_missingness,3,validation,distraction,distraction,65
svm,facial_plus_missingness,3,test,alert,alert,1226
svm,facial_plus_missingness,3,test,alert,fatigue,13
svm,facial_plus_missingness,3,test,alert,distraction,128
svm,facial_plus_missingness,3,test,fatigue,alert,16
svm,facial_plus_missingness,3,test,fatigue,fatigue,0
svm,facial_plus_missingness,3,test,fatigue,distraction,5
svm,facial_plus_missingness,3,test,distraction,alert,36
svm,facial_plus_missingness,3,test,distraction,fatigue,5
svm,facial_plus_missingness,3,test,distraction,distraction,71
random_forest,facial_plus_missingness,3,validation,alert,alert,886
random_forest,facial_plus_missingness,3,validation,alert,fatigue,3
random_forest,facial_plus_missingness,3,validation,alert,distraction,97
random_forest,facial_plus_missingness,3,validation,fatigue,alert,13
random_forest,facial_plus_missingness,3,validation,fatigue,fatigue,0
random_forest,facial_plus_missingness,3,validation,fatigue,distraction,0
random_forest,facial_plus_missingness,3,validation,distraction,alert,102
random_forest,facial_plus_missingness,3,validation,distraction,fatigue,0
random_forest,facial_plus_missingness,3,validation,distraction,distraction,50
random_forest,facial_plus_missingness,3,test,alert,alert,1302
random_forest,facial_plus_missingness,3,test,alert,fatigue,0
random_forest,facial_plus_missingness,3,test,alert,distraction,65
random_forest,facial_plus_missingness,3,test,fatigue,alert,20
random_forest,facial_plus_missingness,3,test,fatigue,fatigue,0
random_forest,facial_plus_missingness,3,test,fatigue,distraction,1
random_forest,facial_plus_missingness,3,test,distraction,alert,66
random_forest,facial_plus_missingness,3,test,distraction,fatigue,0
random_forest,facial_plus_missingness,3,test,distraction,distraction,46
xgboost,facial_plus_missingness,3,validation,alert,alert,797
xgboost,facial_plus_missingness,3,validation,alert,fatigue,14
xgboost,facial_plus_missingness,3,validation,alert,distraction,175
xgboost,facial_plus_missingness,3,validation,fatigue,alert,13
xgboost,facial_plus_missingness,3,validation,fatigue,fatigue,0
xgboost,facial_plus_missingness,3,validation,fatigue,distraction,0
xgboost,facial_plus_missingness,3,validation,distraction,alert,86
xgboost,facial_plus_missingness,3,validation,distraction,fatigue,2
xgboost,facial_plus_missingness,3,validation,distraction,distraction,64
xgboost,facial_plus_missingness,3,test,alert,alert,1256
xgboost,facial_plus_missingness,3,test,alert,fatigue,3
xgboost,facial_plus_missingness,3,test,alert,distraction,108
xgboost,facial_plus_missingness,3,test,fatigue,alert,17
xgboost,facial_plus_missingness,3,test,fatigue,fatigue,0
xgboost,facial_plus_missingness,3,test,fatigue,distraction,4
xgboost,facial_plus_missingness,3,test,distraction,alert,44
xgboost,facial_plus_missingness,3,test,distraction,fatigue,0
xgboost,facial_plus_missingness,3,test,distraction,distraction,68
svm,facial_plus_missingness,4,validation,alert,alert,817
svm,facial_plus_missingness,4,validation,alert,fatigue,36
svm,facial_plus_missingness,4,validation,alert,distraction,159
svm,facial_plus_missingness,4,validation,fatigue,alert,15
svm,facial_plus_missingness,4,validation,fatigue,fatigue,2
svm,facial_plus_missingness,4,validation,fatigue,distraction,0
svm,facial_plus_missingness,4,validation,distraction,alert,45
svm,facial_plus_missingness,4,validation,distraction,fatigue,9
svm,facial_plus_missingness,4,validation,distraction,distraction,42
svm,facial_plus_missingness,4,test,alert,alert,717
svm,facial_plus_missingness,4,test,alert,fatigue,55
svm,facial_plus_missingness,4,test,alert,distraction,185
svm,facial_plus_missingness,4,test,fatigue,alert,0
svm,facial_plus_missingness,4,test,fatigue,fatigue,0
svm,facial_plus_missingness,4,test,fatigue,distraction,0
svm,facial_plus_missingness,4,test,distraction,alert,75
svm,facial_plus_missingness,4,test,distraction,fatigue,4
svm,facial_plus_missingness,4,test,distraction,distraction,59
random_forest,facial_plus_missingness,4,validation,alert,alert,898
random_forest,facial_plus_missingness,4,validation,alert,fatigue,3
random_forest,facial_plus_missingness,4,validation,alert,distraction,111
random_forest,facial_plus_missingness,4,validation,fatigue,alert,17
random_forest,facial_plus_missingness,4,validation,fatigue,fatigue,0
random_forest,facial_plus_missingness,4,validation,fatigue,distraction,0
random_forest,facial_plus_missingness,4,validation,distraction,alert,50
random_forest,facial_plus_missingness,4,validation,distraction,fatigue,0
random_forest,facial_plus_missingness,4,validation,distraction,distraction,46
random_forest,facial_plus_missingness,4,test,alert,alert,805
random_forest,facial_plus_missingness,4,test,alert,fatigue,0
random_forest,facial_plus_missingness,4,test,alert,distraction,152
random_forest,facial_plus_missingness,4,test,fatigue,alert,0
random_forest,facial_plus_missingness,4,test,fatigue,fatigue,0
random_forest,facial_plus_missingness,4,test,fatigue,distraction,0
random_forest,facial_plus_missingness,4,test,distraction,alert,92
random_forest,facial_plus_missingness,4,test,distraction,fatigue,0
random_forest,facial_plus_missingness,4,test,distraction,distraction,46
xgboost,facial_plus_missingness,4,validation,alert,alert,810
xgboost,facial_plus_missingness,4,validation,alert,fatigue,70
xgboost,facial_plus_missingness,4,validation,alert,distraction,132
xgboost,facial_plus_missingness,4,validation,fatigue,alert,15
xgboost,facial_plus_missingness,4,validation,fatigue,fatigue,2
xgboost,facial_plus_missingness,4,validation,fatigue,distraction,0
xgboost,facial_plus_missingness,4,validation,distraction,alert,43
xgboost,facial_plus_missingness,4,validation,distraction,fatigue,5
xgboost,facial_plus_missingness,4,validation,distraction,distraction,48
xgboost,facial_plus_missingness,4,test,alert,alert,685
xgboost,facial_plus_missingness,4,test,alert,fatigue,88
xgboost,facial_plus_missingness,4,test,alert,distraction,184
xgboost,facial_plus_missingness,4,test,fatigue,alert,0
xgboost,facial_plus_missingness,4,test,fatigue,fatigue,0
xgboost,facial_plus_missingness,4,test,fatigue,distraction,0
xgboost,facial_plus_missingness,4,test,distraction,alert,74
xgboost,facial_plus_missingness,4,test,distraction,fatigue,13
xgboost,facial_plus_missingness,4,test,distraction,distraction,51
svm,missingness_only,1,validation,alert,alert,792
svm,missingness_only,1,validation,alert,fatigue,98
svm,missingness_only,1,validation,alert,distraction,124
svm,missingness_only,1,validation,fatigue,alert,2
svm,missingness_only,1,validation,fatigue,fatigue,2
svm,missingness_only,1,validation,fatigue,distraction,0
svm,missingness_only,1,validation,distraction,alert,72
svm,missingness_only,1,validation,distraction,fatigue,24
svm,missingness_only,1,validation,distraction,distraction,66
svm,missingness_only,1,test,alert,alert,919
svm,missingness_only,1,test,alert,fatigue,71
svm,missingness_only,1,test,alert,distraction,98
svm,missingness_only,1,test,fatigue,alert,22
svm,missingness_only,1,test,fatigue,fatigue,15
svm,missingness_only,1,test,fatigue,distraction,30
svm,missingness_only,1,test,distraction,alert,80
svm,missingness_only,1,test,distraction,fatigue,47
svm,missingness_only,1,test,distraction,distraction,252
random_forest,missingness_only,1,validation,alert,alert,864
random_forest,missingness_only,1,validation,alert,fatigue,6
random_forest,missingness_only,1,validation,alert,distraction,144
random_forest,missingness_only,1,validation,fatigue,alert,2
random_forest,missingness_only,1,validation,fatigue,fatigue,0
random_forest,missingness_only,1,validation,fatigue,distraction,2
random_forest,missingness_only,1,validation,distraction,alert,97
random_forest,missingness_only,1,validation,distraction,fatigue,1
random_forest,missingness_only,1,validation,distraction,distraction,64
random_forest,missingness_only,1,test,alert,alert,966
random_forest,missingness_only,1,test,alert,fatigue,11
random_forest,missingness_only,1,test,alert,distraction,111
random_forest,missingness_only,1,test,fatigue,alert,34
random_forest,missingness_only,1,test,fatigue,fatigue,2
random_forest,missingness_only,1,test,fatigue,distraction,31
random_forest,missingness_only,1,test,distraction,alert,133
random_forest,missingness_only,1,test,distraction,fatigue,1
random_forest,missingness_only,1,test,distraction,distraction,245
xgboost,missingness_only,1,validation,alert,alert,819
xgboost,missingness_only,1,validation,alert,fatigue,40
xgboost,missingness_only,1,validation,alert,distraction,155
xgboost,missingness_only,1,validation,fatigue,alert,4
xgboost,missingness_only,1,validation,fatigue,fatigue,0
xgboost,missingness_only,1,validation,fatigue,distraction,0
xgboost,missingness_only,1,validation,distraction,alert,82
xgboost,missingness_only,1,validation,distraction,fatigue,12
xgboost,missingness_only,1,validation,distraction,distraction,68
xgboost,missingness_only,1,test,alert,alert,935
xgboost,missingness_only,1,test,alert,fatigue,28
xgboost,missingness_only,1,test,alert,distraction,125
xgboost,missingness_only,1,test,fatigue,alert,19
xgboost,missingness_only,1,test,fatigue,fatigue,9
xgboost,missingness_only,1,test,fatigue,distraction,39
xgboost,missingness_only,1,test,distraction,alert,79
xgboost,missingness_only,1,test,distraction,fatigue,12
xgboost,missingness_only,1,test,distraction,distraction,288
svm,missingness_only,2,validation,alert,alert,832
svm,missingness_only,2,validation,alert,fatigue,137
svm,missingness_only,2,validation,alert,distraction,111
svm,missingness_only,2,validation,fatigue,alert,15
svm,missingness_only,2,validation,fatigue,fatigue,2
svm,missingness_only,2,validation,fatigue,distraction,0
svm,missingness_only,2,validation,distraction,alert,29
svm,missingness_only,2,validation,distraction,fatigue,20
svm,missingness_only,2,validation,distraction,distraction,27
svm,missingness_only,2,test,alert,alert,1367
svm,missingness_only,2,test,alert,fatigue,108
svm,missingness_only,2,test,alert,distraction,96
svm,missingness_only,2,test,fatigue,alert,0
svm,missingness_only,2,test,fatigue,fatigue,0
svm,missingness_only,2,test,fatigue,distraction,0
svm,missingness_only,2,test,distraction,alert,90
svm,missingness_only,2,test,distraction,fatigue,20
svm,missingness_only,2,test,distraction,distraction,183
random_forest,missingness_only,2,validation,alert,alert,853
random_forest,missingness_only,2,validation,alert,fatigue,69
random_forest,missingness_only,2,validation,alert,distraction,158
random_forest,missingness_only,2,validation,fatigue,alert,17
random_forest,missingness_only,2,validation,fatigue,fatigue,0
random_forest,missingness_only,2,validation,fatigue,distraction,0
random_forest,missingness_only,2,validation,distraction,alert,30
random_forest,missingness_only,2,validation,distraction,fatigue,8
random_forest,missingness_only,2,validation,distraction,distraction,38
random_forest,missingness_only,2,test,alert,alert,1375
random_forest,missingness_only,2,test,alert,fatigue,48
random_forest,missingness_only,2,test,alert,distraction,148
random_forest,missingness_only,2,test,fatigue,alert,0
random_forest,missingness_only,2,test,fatigue,fatigue,0
random_forest,missingness_only,2,test,fatigue,distraction,0
random_forest,missingness_only,2,test,distraction,alert,92
random_forest,missingness_only,2,test,distraction,fatigue,11
random_forest,missingness_only,2,test,distraction,distraction,190
xgboost,missingness_only,2,validation,alert,alert,856
xgboost,missingness_only,2,validation,alert,fatigue,86
xgboost,missingness_only,2,validation,alert,distraction,138
xgboost,missingness_only,2,validation,fatigue,alert,17
xgboost,missingness_only,2,validation,fatigue,fatigue,0
xgboost,missingness_only,2,validation,fatigue,distraction,0
xgboost,missingness_only,2,validation,distraction,alert,30
xgboost,missingness_only,2,validation,distraction,fatigue,10
xgboost,missingness_only,2,validation,distraction,distraction,36
xgboost,missingness_only,2,test,alert,alert,1387
