ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,fatigue,g4_d_augmentation_w60,0,3,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,3,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,91,3,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,0,3,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,61,3,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,1268,3,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,0,3,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,99,3,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,18,3,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,3,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,3,3,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,52,3,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,test,60
