run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__feature__logistic_regression__r0_flat__w30__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,1,42,none,683ed35b470be03f3a7e405b188a8d606af917f95d6f3593a44d23620f875a25,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w30__fold_1__seed_42.joblib,0.046,2026-09-15T18:12:56+00:00,
final__screening__feature__logistic_regression__r0_flat__w30__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,2,42,none,feeae5316e1a5e832283f48f5b0159559bb206d4a4dabc6f179da92b889476d5,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w30__fold_2__seed_42.joblib,0.038,2026-09-15T18:12:56+00:00,
final__screening__feature__logistic_regression__r0_flat__w30__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,3,42,none,f3c4484996303dab7d9010d504e77adce06003e6f5c9bca9cce541350ffded6b,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w30__fold_3__seed_42.joblib,0.038,2026-09-15T18:12:56+00:00,
final__screening__feature__logistic_regression__r0_flat__w30__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,4,42,none,23326c9ff45258ebbadc8dcbda537a89feb1068208ae9090d6121dd67bf2699a,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w30__fold_4__seed_42.joblib,0.040,2026-09-15T18:12:57+00:00,
final__screening__feature__logistic_regression__r0_flat__w60__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,1,42,none,0a00f6f4d4d041198ae50e838b879853519b04b0f40b5e12195a724b00eae752,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w60__fold_1__seed_42.joblib,0.067,2026-09-15T18:12:57+00:00,
final__screening__feature__logistic_regression__r0_flat__w60__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,2,42,none,7cfb8421002541baf40340ceaf5a4315980cb5b3b76b010585090010cdb796e9,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w60__fold_2__seed_42.joblib,0.068,2026-09-15T18:12:57+00:00,
final__screening__feature__logistic_regression__r0_flat__w60__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,3,42,none,58b872cba4576885ace502ddc79abf3b877defa26b7022eea97499950e075df2,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w60__fold_3__seed_42.joblib,0.065,2026-09-15T18:12:57+00:00,
final__screening__feature__logistic_regression__r0_flat__w60__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,4,42,none,a57facbb0c7244d89eaa553dd90168ddb698b0765789f96d350273ae86700e97,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w60__fold_4__seed_42.joblib,0.070,2026-09-15T18:12:57+00:00,
final__screening__feature__random_forest__r0_flat__w150__fold_1__seed_42,screening,feature,classical,screening,random_forest,R0_flat,150,1,42,none,01578fb558239795a08c0b68be70fd10b20da25bdbd2bc11da4992d47210f781,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__random_forest__r0_flat__w150__fold_1__seed_42.joblib,8.734,2026-09-15T18:16:27+00:00,
final__screening__feature__random_forest__r0_flat__w150__fold_2__seed_42,screening,feature,classical,screening,random_forest,R0_flat,150,2,42,none,dcbda07fc203bb59607b1d8e6d65bf65941bde1b4f411b6b05b1736fa99322c5,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__random_forest__r0_flat__w150__fold_2__seed_42.joblib,5.076,2026-09-15T18:16:32+00:00,
final__screening__feature__random_forest__r0_flat__w150__fold_3__seed_42,screening,feature,classical,screening,random_forest,R0_flat,150,3,42,none,2116eabd6a4e0f416fb6b3f486a65d744dfb45b913e0d7d576ba807d23b9c148,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__random_forest__r0_flat__w150__fold_3__seed_42.joblib,8.057,2026-09-15T18:16:40+00:00,
